country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Ecuador,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5679,5725,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7467248908296942e-4,0,0,0,0,0,1.7467248908296942e-4,0,1.7467248908296942e-4,0,0,1.7467248908296942e-4,0,0
Ecuador,Combined,2012-02-01,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,4738,4782,0,0,0,0,0,0,0,0,2.0911752404851526e-4,4.182350480970305e-4,0,0,0,0,0,0,2.0911752404851526e-4,0,0,0,0,0,0,0,6.273525721455458e-4,0,2.0911752404851526e-4
Ecuador,Combined,2012-03-01,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,2,0,0,0,0,4945,4995,0,0,0,2.002002002002002e-4,0,0,0,2.002002002002002e-4,0,2.002002002002002e-4,0,2.002002002002002e-4,2.002002002002002e-4,0,2.002002002002002e-4,0,4.004004004004004e-4,0,0,0,0,2.002002002002002e-4,0,4.004004004004004e-4,2.002002002002002e-4,2.002002002002002e-4,6.006006006006007e-4
Ecuador,Combined,2012-04-01,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,4714,4743,2.108370229812355e-4,0,0,0,0,0,0,0,0,6.325110689437065e-4,0,2.108370229812355e-4,0,0,0,0,0,0,4.21674045962471e-4,0,0,4.21674045962471e-4,0,0,0.0010541851149061775,0,0
Ecuador,Combined,2012-05-01,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,6,0,0,0,0,4619,4647,0,0,0,0,0,0,0,0,0,2.1519259737465033e-4,0,4.3038519474930065e-4,0,2.1519259737465033e-4,0,0,0.0012911555842479018,0,0,0,0,6.45577792123951e-4,0,0,2.1519259737465033e-4,0,0.0012911555842479018
Ecuador,Combined,2012-06-01,2,0,0,0,0,0,0,0,0,6,0,2,0,0,0,1,3,3,0,0,0,4960,5100,3.92156862745098e-4,0,0,0,0,0,0,0,0,0.001176470588235294,0,3.92156862745098e-4,0,0,0,1.96078431372549e-4,5.88235294117647e-4,5.88235294117647e-4,0,0,0,9.80392156862745e-4,0,0,0.001764705882352941,0,5.88235294117647e-4
Ecuador,Combined,2012-07-01,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,1,5189,5245,0,0,0,0,0,0,0,0,0,3.8131553860819826e-4,0,0,0,3.8131553860819826e-4,0,0,3.8131553860819826e-4,0,3.8131553860819826e-4,0,1.9065776930409913e-4,3.8131553860819826e-4,1.9065776930409913e-4,0,7.626310772163965e-4,0,3.8131553860819826e-4
Ecuador,Combined,2012-08-01,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,5414,5682,1.7599436818021823e-4,0,0,0,0,0,0,0,0,0,0,1.7599436818021823e-4,0,0,0,0,3.5198873636043646e-4,1.7599436818021823e-4,1.7599436818021823e-4,0,0,3.5198873636043646e-4,0,0,3.5198873636043646e-4,0,3.5198873636043646e-4
Ecuador,Combined,2012-09-01,0,0,0,4,0,0,0,1,0,5,0,1,0,1,0,0,1,0,2,0,0,4862,4928,0,0,0,8.116883116883117e-4,0,0,0,2.0292207792207794e-4,0,0.0010146103896103895,0,2.0292207792207794e-4,0,2.0292207792207794e-4,0,0,2.0292207792207794e-4,0,4.0584415584415587e-4,0,0,4.0584415584415587e-4,0,0.0010146103896103897,0.0014204545454545455,0,2.0292207792207794e-4
Ecuador,Combined,2012-10-01,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,5170,5248,3.8109756097560977e-4,0,0,0,0,0,0,0,0,0,0,1.9054878048780488e-4,0,0,0,0,1.9054878048780488e-4,0,3.8109756097560977e-4,0,0,5.716463414634147e-4,0,0,3.8109756097560977e-4,0,1.9054878048780488e-4
